bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,price
4,1.75,2120.0,7420,1.0,0,0,4,7,1060.0,1060,1540,7420,453000.0
4,2.5,2180.0,9861,2.0,0,2,3,8,2180.0,0,2390,9761,480000.0
3,1.5,1540.0,9800,1.0,0,0,3,7,1010.0,530,1600,8250,180500.0
3,3.5,2380.0,6250,2.0,0,3,3,8,1670.0,710,2540,4010,495000.0
4,2.5,2230.0,8500,2.0,0,0,3,8,2230.0,0,2270,8770,325000.0
2,1.0,830.0,2820,1.0,0,0,4,7,830.0,0,1460,3150,519000.0
3,2.25,1190.0,1137,2.0,0,0,3,7,960.0,230,1190,1080,475000.0
5,3.25,2480.0,10277,2.0,0,0,5,8,1640.0,840,2270,10277,525000.0
4,2.5,3480.0,6262,2.0,0,0,3,9,3480.0,0,3490,6629,808000.0
4,2.5,3172.0,5033,2.0,0,0,3,8,3172.0,0,2704,5232,432500.0
2,1.5,880.0,2400,1.5,0,0,3,7,880.0,0,1220,4440,615000.0
3,1.75,1770.0,8235,1.0,0,0,3,7,1030.0,740,1560,8918,295000.0
3,2.25,1990.0,10260,2.0,0,0,4,8,1990.0,0,1990,10260,675000.0
3,2.5,2620.0,108464,2.0,0,0,4,8,2620.0,0,3190,105850,427000.0
1,1.0,900.0,6380,1.0,0,0,3,6,900.0,0,1830,6380,395000.0
3,2.5,2430.0,10500,2.0,0,1,3,9,2430.0,0,3440,12842,1030000.0
3,1.5,1350.0,7800,1.0,0,0,3,7,1350.0,0,1510,8040,275000.0
4,3.75,3860.0,5474,2.5,0,0,3,10,3860.0,0,3040,5474,1050000.0
3,2.75,1160.0,1073,2.0,0,0,3,7,880.0,280,1250,5400,402723.0
3,2.5,1790.0,2375,3.0,0,0,3,8,1790.0,0,1450,2400,670950.0
5,3.5,3580.0,21343,1.5,0,0,4,8,2140.0,1440,2430,21343,600000.0
3,2.25,1610.0,6655,2.0,0,0,4,7,1610.0,0,1780,7529,358000.0
5,2.75,2730.0,6401,2.0,0,0,3,8,2730.0,0,2520,6126,614285.0
3,2.25,1720.0,8521,1.0,0,0,4,7,1140.0,580,1530,8692,628000.0
3,2.5,1830.0,7585,2.0,0,0,4,8,1830.0,0,2070,7585,325000.0
3,1.0,1310.0,8370,1.5,0,0,3,7,1310.0,0,1310,8370,311000.0
5,2.75,3010.0,4919,2.0,0,0,3,9,3010.0,0,3230,5415,831548.0
2,1.75,1610.0,4104,1.0,0,0,3,7,950.0,660,1510,5284,397000.0
3,3.25,4160.0,35153,3.0,0,2,3,12,3690.0,470,3290,11533,1700000.0
2,2.5,1175.0,1366,2.0,0,0,3,8,740.0,435,1710,1255,342000.0
3,2.0,1370.0,8137,1.0,0,0,4,7,1370.0,0,1660,8840,276000.0
4,3.5,3010.0,3600,2.0,0,0,3,9,,640,2650,4200,1280000.0
2,1.75,2230.0,6930,1.0,0,0,4,8,1530.0,700,1970,6930,766500.0
3,2.25,1900.0,18000,1.0,0,0,4,7,1280.0,620,1920,15000,212000.0
4,1.5,,3300,1.5,0,0,4,8,1530.0,500,2610,5400,750000.0
2,1.75,910.0,2693,1.0,0,0,3,6,910.0,0,1360,2693,200000.0
4,2.5,2233.0,6025,2.0,0,0,3,7,2233.0,0,1544,6036,317500.0
5,2.5,2250.0,10400,1.0,0,0,3,8,1280.0,970,2140,9592,370000.0
4,2.5,2980.0,8786,2.0,0,0,3,8,2980.0,0,2980,6718,382500.0
3,2.0,1540.0,3600,2.0,0,0,3,8,1540.0,0,2970,3600,850000.0
4,1.5,3120.0,7680,1.0,0,3,3,8,1660.0,1460,2900,7680,976000.0
2,1.0,1240.0,12092,1.0,0,0,3,6,960.0,280,1820,7460,240500.0
5,1.75,2000.0,8713,1.0,0,2,3,7,1000.0,1000,2040,8449,620000.0
3,2.5,1800.0,3265,2.0,0,0,3,8,1800.0,0,1800,3663,437718.0
3,2.5,2440.0,4800,2.0,0,0,3,10,2440.0,0,1180,5480,625000.0
3,1.75,1740.0,8528,1.0,0,0,4,7,1290.0,450,1610,8528,480000.0
4,2.5,2590.0,4498,2.0,0,0,3,9,2590.0,0,2660,5238,700000.0
2,2.0,1460.0,9052,1.0,0,2,5,6,1460.0,0,2554,7834,1010000.0
5,3.25,3410.0,9088,2.0,0,3,3,9,2760.0,650,3540,7100,2400000.0
2,1.0,1580.0,2199,2.0,0,2,3,8,1580.0,0,2170,4405,720000.0
4,2.5,1630.0,5361,2.0,0,0,3,7,1630.0,0,1920,5046,327000.0
3,2.25,1610.0,7187,2.0,0,0,3,7,1610.0,0,1640,7194,269950.0
5,3.25,3940.0,9780,2.0,0,0,3,9,3940.0,0,3550,8468,695000.0
4,2.5,3180.0,5438,2.0,0,0,3,9,3180.0,0,3030,5335,650000.0
4,1.5,1940.0,8970,1.5,0,0,3,7,1270.0,670,1960,8470,306888.0
4,2.5,2730.0,10281,2.0,0,2,3,9,2730.0,0,2750,7220,780000.0
2,1.0,1150.0,15000,1.0,0,0,3,6,1060.0,90,1350,15000,224000.0
4,2.5,2630.0,15000,2.0,0,0,5,8,2630.0,0,1770,8700,589000.0
3,2.5,1530.0,8500,1.0,0,0,5,7,1030.0,500,1850,8140,245000.0
3,1.0,1140.0,5000,1.0,0,0,3,7,1140.0,0,1140,5000,276000.0
3,1.75,3670.0,11884,1.0,0,2,4,9,1950.0,1720,3020,9747,920000.0
3,2.0,1750.0,7000,1.0,0,0,3,8,1750.0,0,1840,6969,363000.0
4,2.25,,14237,2.0,0,0,3,9,3440.0,0,3250,18365,725000.0
3,1.0,970.0,5922,1.5,0,0,3,7,970.0,0,1730,6128,354950.0
3,1.75,1150.0,6423,1.0,0,0,3,5,590.0,560,1150,8367,285000.0
2,1.0,950.0,4000,1.0,0,0,3,6,950.0,0,1480,4000,320000.0
4,2.75,3540.0,7091,1.5,0,1,4,8,1970.0,1570,2200,6000,784000.0
3,2.5,1770.0,7336,2.0,0,0,3,7,1770.0,0,1770,7349,270000.0
4,1.75,1720.0,8750,1.0,0,0,3,7,860.0,860,1790,8750,385000.0
3,2.5,1610.0,8544,2.0,0,0,5,7,1610.0,0,1840,8190,319000.0
2,1.0,1650.0,9780,1.0,0,0,3,7,950.0,700,1650,5458,580000.0
3,2.25,2280.0,6150,2.0,0,2,3,8,2280.0,0,1920,6150,660000.0
6,2.75,3500.0,5150,,0,0,5,8,2430.0,1070,1430,3860,865000.0
3,2.5,1950.0,3730,2.0,0,0,3,9,1950.0,0,2080,4000,899000.0
3,2.5,2099.0,4275,2.0,0,0,3,7,2099.0,0,2099,4275,289950.0
3,1.75,1500.0,10269,1.0,0,0,3,7,1030.0,470,2090,10269,352500.0
3,1.75,1240.0,13869,1.0,0,0,4,7,1240.0,0,1970,7790,675000.0
5,2.5,1970.0,12375,1.0,0,0,3,8,1570.0,400,1970,8941,575000.0
1,1.0,1160.0,64469,1.0,0,0,3,7,1160.0,0,1580,48352,440000.0
4,2.0,1490.0,5300,1.0,0,0,3,7,1110.0,380,1330,1499,425000.0
3,2.5,1800.0,5372,2.0,0,0,3,8,1800.0,0,1650,6014,416000.0
2,1.0,1360.0,69260,1.0,0,0,4,5,1360.0,0,1460,69260,335000.0
2,2.0,1540.0,54450,2.0,0,0,3,7,1540.0,0,2280,29918,475000.0
3,1.75,1290.0,1237,2.0,0,0,3,7,1060.0,230,1370,942,288790.0
4,2.5,2970.0,34981,2.0,0,0,3,9,2970.0,0,3170,30277,640000.0
4,2.5,,7930,2.0,0,0,3,8,2460.0,0,1850,9000,730000.0
4,2.5,2270.0,7665,2.0,0,0,3,9,2270.0,0,2450,8706,732350.0
2,1.75,1350.0,4286,1.0,0,0,3,8,1350.0,0,1440,4839,455000.0
3,2.75,1320.0,1125,3.0,0,0,3,8,1320.0,0,1320,1266,535000.0
2,2.0,1190.0,7570,1.0,0,0,3,6,1190.0,0,1190,7635,210000.0
3,2.5,2490.0,23891,2.0,0,0,3,9,2490.0,0,2900,34705,700000.0
4,2.5,2423.0,7292,2.0,0,0,3,8,2423.0,0,2495,7489,290000.0
3,2.5,1350.0,1189,2.0,0,0,3,7,1080.0,270,1300,1182,270000.0
4,2.25,3060.0,48787,2.0,0,0,3,8,3060.0,0,2090,48787,415000.0
2,1.0,710.0,6322,1.0,0,0,3,6,710.0,0,740,6720,245000.0
4,2.5,2480.0,15411,2.0,0,2,3,8,2480.0,0,2940,14679,665000.0
2,1.5,893.0,965,2.0,0,0,3,8,893.0,0,1340,1436,359950.0
3,2.5,1870.0,3584,2.0,0,0,3,8,1870.0,0,1900,3920,345000.0
2,1.0,730.0,6728,1.0,0,0,3,6,730.0,0,1170,7034,122000.0
3,1.5,1580.0,1228,3.0,0,0,3,8,1580.0,0,1580,3605,495000.0
5,2.0,2290.0,7125,,0,0,3,7,1190.0,1100,1460,7920,580000.0
4,2.0,2410.0,4680,2.0,0,0,3,9,2410.0,0,1910,4611,470000.0
3,2.5,1470.0,4675,,0,0,3,7,1470.0,0,1500,4385,339900.0
2,1.75,1810.0,4220,2.0,0,0,3,8,1810.0,0,1350,4479,489000.0
3,1.0,1960.0,7955,1.0,0,0,4,7,1260.0,700,1850,8219,375000.0
3,1.75,1920.0,9102,1.0,0,0,3,7,1920.0,0,1920,9760,400000.0
3,1.0,1440.0,5580,1.5,0,0,3,7,1440.0,0,2010,5580,499950.0
3,2.5,2530.0,8116,2.0,0,0,3,8,2530.0,0,2280,8791,450000.0
4,1.5,1570.0,8775,1.0,0,0,3,7,1570.0,0,980,8775,228900.0
4,2.5,2360.0,43088,2.0,0,0,3,8,2360.0,0,2850,39216,542126.0
3,2.5,1940.0,7415,2.0,0,0,3,8,1940.0,0,1940,8425,423800.0
4,2.75,2656.0,21195,2.0,0,0,3,9,2656.0,0,1860,16510,495000.0
3,2.0,1770.0,6610,1.0,0,0,4,7,960.0,810,2010,4361,449500.0
4,2.5,2900.0,4762,2.0,0,0,3,8,2900.0,0,2900,5173,354000.0
4,2.5,2700.0,9320,2.0,0,0,4,8,2700.0,0,2120,8056,837500.0
2,1.0,1250.0,5413,1.0,0,0,4,7,1250.0,0,1250,5413,511000.0
6,1.0,1730.0,2760,1.5,0,0,3,7,1250.0,480,1630,3200,563000.0
3,1.0,1520.0,213444,1.5,0,3,5,8,1520.0,0,2640,213444,425000.0
4,1.0,2150.0,3588,2.0,0,3,4,8,1850.0,300,1950,3588,810000.0
3,2.5,2160.0,9888,2.0,0,0,4,9,2160.0,0,3060,7829,733000.0
2,1.5,1440.0,725,2.0,0,0,3,8,1100.0,340,1440,4255,427000.0
3,1.0,1200.0,4000,1.5,0,0,4,6,1200.0,0,1390,4000,438000.0
2,1.5,950.0,4625,1.0,0,0,4,7,950.0,0,1440,4625,430000.0
2,2.25,1290.0,1334,3.0,0,0,3,8,1290.0,0,1350,1334,489000.0
3,2.5,2340.0,5957,2.0,0,0,3,8,2340.0,0,2340,6604,505000.0
6,2.0,2500.0,5200,1.0,0,0,3,8,1250.0,1250,1800,5200,415000.0
4,1.0,1410.0,6000,1.0,0,0,3,7,810.0,600,1500,4800,413000.0
3,2.75,2660.0,10350,1.0,0,4,4,8,1330.0,1330,2820,10043,851000.0
4,3.25,2630.0,7770,2.0,0,0,3,9,2630.0,0,1370,7770,715000.0
3,3.25,3790.0,19000,2.0,0,4,3,10,3790.0,0,2740,18628,1600000.0
3,2.25,1920.0,8223,2.0,0,0,4,7,1920.0,0,1940,7274,443000.0
4,1.5,2210.0,10497,1.0,0,0,4,8,1650.0,560,1840,12697,445500.0
3,3.5,3220.0,3960,2.0,0,4,3,10,2760.0,460,3080,4444,1260000.0
4,2.5,2300.0,7500,1.0,0,3,2,7,1650.0,650,2300,7500,308130.0
3,1.75,1780.0,4500,1.0,0,0,4,7,920.0,860,1360,4000,625000.0
4,2.75,2830.0,7334,2.0,0,0,3,8,2830.0,0,2830,7378,540000.0
3,1.5,1820.0,8750,1.0,0,0,4,7,1200.0,620,1500,8000,276000.0
3,2.0,2520.0,5980,1.0,0,0,3,8,1790.0,730,1590,5750,650000.0
